level_0,index,Date,AAIC-PC,ACMR,ACNB,ADI,AKOM,ARI,ARLO,BBDC,BGCP,CMPX,CMSD,CYCC,DPCSU,EFX,ELME,FNMA,GFOR-UN,GHAC
168,168,2021-09-02 00:00:00-04:00,-0.0011822593525437385,0.04351862117697062,-0.010438510450425103,0.009328736442462342,0.0,-0.007711999866956809,0.018987893619546243,0.0009103037558889245,0.00577493581894557,0.0,0.0,0.008810579340706302,NaN,0.015264023115489906,0.00549020562924138,0.009950321410848074,0.0,0.0
156,156,2021-08-17 00:00:00-04:00,-0.007197110875561147,-0.029089878109155465,-0.006653871243789106,-0.02827958171232576,0.0,0.005284045425011311,-0.03521495626283842,0.007252948703270205,-0.012926933736460363,-0.013423007444650008,-0.0018366383206392335,0.0021030982811968487,NaN,0.004630548308509992,-0.00694874841181353,-0.04695705039012244,0.0,0.008273048538034771
15,15,2021-01-26 00:00:00-05:00,0.0018577559607498746,-0.06593309926571359,-0.03709859603633105,0.007905221610338275,0.0,-0.014388927678721715,0.01953673859385783,0.01978078290465571,0.010309471288354412,NaN,0.0021898704781390227,0.028170882373013392,NaN,0.00968727336008143,-0.003535037320799203,0.03158154232311986,NaN,NaN
250,250,2021-12-30 00:00:00-05:00,-0.005932397654835971,0.05490911810212663,-0.004132865530821727,-0.004224824039246341,0.0,-0.011428650540946666,0.02223392706736279,-0.011910207094148651,-0.0043196305789662106,0.020202687854778384,0.0018689765002381485,0.02083412894626995,0.0,-0.009524194021525705,-0.0015503640425264225,-0.03509135651363801,0.0,0.0
216,216,2021-11-10 00:00:00-05:00,-0.0007822190295058138,-0.046591480465452716,0.0039069872019388725,-0.022632445919381784,0.0,-0.011049910471321579,0.09906392433307923,0.005244785999411624,-0.0020385881843912423,-0.04071121157997431,-0.007953802243915816,0.021804657135460755,0.0,-0.03907643196073254,-0.0027074408183920063,0.01005032622042762,0.0,-0.003072171733410631
81,81,2021-04-30 00:00:00-04:00,-0.00020892815470312085,-0.013211907833424106,-0.005077781427911264,-0.03117510646680164,0.02898751015968521,-0.010464463019464885,-0.024175245271968238,-0.005763822930226562,0.001888728008928725,-0.1941560144409575,-0.00867995133249627,0.0,NaN,0.005380255089442603,0.01606287743196534,0.0,NaN,0.0
150,150,2021-08-09 00:00:00-04:00,0.0035934278270166064,0.039150870181844266,-0.02497932612607283,0.001051225647849065,0.0,-0.017038364722895435,0.01658411227764279,0.0009128961855032569,0.022629353962137607,0.0,-0.0032602831327988467,0.021422461631036536,NaN,-0.002327070206418162,-0.02147917232489781,-0.024490996172794488,0.0,-0.0010304203859119716
203,203,2021-10-22 00:00:00-04:00,-0.0012368285150967612,0.005188856430201677,0.0014529225388821183,-0.0021832583597581313,0.0,0.0006453780192599425,-0.013772238293250113,0.0,0.0036297661421862233,0.0,-0.0003657443153289058,-0.04090142883016172,NaN,0.048926082561851436,-0.0003964593401465921,-0.035932045997938575,0.0,0.0010240890326910612
231,231,2021-12-02 00:00:00-05:00,0.0,-0.03375030856346032,0.004516285970180612,0.0026608381613398534,0.0,0.032427245703903006,0.05189226623607277,0.029279237774246427,0.04590990166781726,0.008321815632248535,0.00037593308940339637,-0.005730669228098182,-0.002980601590700795,0.047286190905173074,0.02236510109712786,-0.009756165867939072,0.0,0.0
219,219,2021-11-15 00:00:00-05:00,-0.003102397161945761,0.04307615237999097,0.0007085178955336745,0.001460164574125424,0.0,-0.01800657789260658,-0.020861231853910863,-0.0035179831834260154,-0.02839936126685173,0.013986228915818986,-0.0034372933418167556,-0.020704652919739486,0.0009934700420365617,0.008107281212541883,0.017513627126296807,-0.03045917798962703,0.0,0.0010240890326910612